NC,Bezeichnung,NUF,bezeichnung_no_special_ch,concat_text
111,wohnräume,NUF_1,wohnraume,wohnräume | wohnraume
41121,einfache lagerhalle,NUF_4,einfache lagerhalle,einfache lagerhalle | einfache lagerhalle
41122,lagerhalle,NUF_4,lagerhalle,lagerhalle | lagerhalle
41123,hochregallager,NUF_4,hochregallager,hochregallager | hochregallager
41131,tresorraum,NUF_4,tresorraum,tresorraum | tresorraum
41132,asservatenraum,NUF_4,asservatenraum,asservatenraum | asservatenraum
41133,asservatenraum mit rlt 1,NUF_4,asservatenraum mit rlt 1,asservatenraum mit rlt 1 | asservatenraum mit rlt 1
41134,lagerraum bes. gesichert mit rlt 2,NUF_4,lagerraum bes. gesichert mit rlt 2,lagerraum bes. gesichert mit rlt 2 | lagerraum bes. gesichert mit rlt 2
41151,lagerraum für sterile erde,NUF_4,lagerraum fur sterile erde,lagerraum für sterile erde | lagerraum fur sterile erde
41152,pflanzentopflager mit spüle und rlt 3,NUF_4,pflanzentopflager mit spule und rlt 3,pflanzentopflager mit spüle und rlt 3 | pflanzentopflager mit spule und rlt 3
41161,"sterilgutversorgungslager (lager im op-bereich), raumklasse ii",NUF_4,"sterilgutversorgungslager (lager im op-bereich), raumklasse ii","sterilgutversorgungslager (lager im op-bereich), raumklasse ii | sterilgutversorgungslager (lager im op-bereich), raumklasse ii"
41162,medikamentenlager; raumklasse ii (op-bereich),NUF_4,medikamentenlager; raumklasse ii (op-bereich),medikamentenlager; raumklasse ii (op-bereich) | medikamentenlager; raumklasse ii (op-bereich)
41171,waffenschließfächer mit ladeecke,NUF_4,waffenschliessfacher mit ladeecke,waffenschließfächer mit ladeecke | waffenschliessfacher mit ladeecke
41172,"munitions-, waffenlagerraum mit rlt 1",NUF_4,"munitions-, waffenlagerraum mit rlt 1","munitions-, waffenlagerraum mit rlt 1 | munitions-, waffenlagerraum mit rlt 1"
412,lageräume für lebensmittel ohne kühlung; t>12°c,NUF_4,lageraume fur lebensmittel ohne kuhlung; t>12°c,lageräume für lebensmittel ohne kühlung; t>12°c | lageraume fur lebensmittel ohne kuhlung; t>12°c
41211,lagerraum für milchtank,NUF_4,lagerraum fur milchtank,lagerraum für milchtank | lagerraum fur milchtank
41212,lagerraum für lebensmittel mit rlt 1,NUF_4,lagerraum fur lebensmittel mit rlt 1,lagerraum für lebensmittel mit rlt 1 | lagerraum fur lebensmittel mit rlt 1
41213,lagerraum mit hygienischen anforderungen und rlt 1,NUF_4,lagerraum mit hygienischen anforderungen und rlt 1,lagerraum mit hygienischen anforderungen und rlt 1 | lagerraum mit hygienischen anforderungen und rlt 1
413,isotopenlagerräume (strahlenschutz),NUF_4,isotopenlagerraume (strahlenschutz),isotopenlagerräume (strahlenschutz) | isotopenlagerraume (strahlenschutz)
41311,lagerraum mit einfachen strahlenschutz-anforderungen,NUF_4,lagerraum mit einfachen strahlenschutz-anforderungen,lagerraum mit einfachen strahlenschutz-anforderungen | lagerraum mit einfachen strahlenschutz-anforderungen
41312,lagerraum mit höchsten strahlenschutz-anforderungen und zugang über schleuse,NUF_4,lagerraum mit hochsten strahlenschutz-anforderungen und zugang uber schleuse,lagerraum mit höchsten strahlenschutz-anforderungen und zugang über schleuse | lagerraum mit hochsten strahlenschutz-anforderungen und zugang uber schleuse
414,sprengstofflager-/ lösungsmittellagerräume,NUF_4,sprengstofflager-/ losungsmittellagerraume,sprengstofflager-/ lösungsmittellagerräume | sprengstofflager-/ losungsmittellagerraume
41411,lagerraum für explosivstoffe,NUF_4,lagerraum fur explosivstoffe,lagerraum für explosivstoffe | lagerraum fur explosivstoffe
41421,lagerraum für chemikalien,NUF_4,lagerraum fur chemikalien,lagerraum für chemikalien | lagerraum fur chemikalien
415,scheunen/ futtermittellagerräume,NUF_4,scheunen/ futtermittellagerraume,scheunen/ futtermittellagerräume | scheunen/ futtermittellagerraume
41511,futtermittellager,NUF_4,futtermittellager,futtermittellager | futtermittellager
41512,futtermittellager mit verarbeitung und rlt 1,NUF_4,futtermittellager mit verarbeitung und rlt 1,futtermittellager mit verarbeitung und rlt 1 | futtermittellager mit verarbeitung und rlt 1
41513,futtermittellager mit bes. hygienischen anf. und rlt 3,NUF_4,futtermittellager mit bes. hygienischen anf. und rlt 3,futtermittellager mit bes. hygienischen anf. und rlt 3 | futtermittellager mit bes. hygienischen anf. und rlt 3
421,archive/ registraturen,NUF_4,archive/ registraturen,archive/ registraturen | archive/ registraturen
42111,archiv,NUF_4,archiv,archiv | archiv
42112,archiv mit rlt 1,NUF_4,archiv mit rlt 1,archiv mit rlt 1 | archiv mit rlt 1
42113,archiv mit rlt 3,NUF_4,archiv mit rlt 3,archiv mit rlt 3 | archiv mit rlt 3
42114,archiv sicherheitsanforderungen und rlt 1,NUF_4,archiv sicherheitsanforderungen und rlt 1,archiv sicherheitsanforderungen und rlt 1 | archiv sicherheitsanforderungen und rlt 1
42121,registratur,NUF_4,registratur,registratur | registratur
42122,registratur mit arbeitsplatz,NUF_4,registratur mit arbeitsplatz,registratur mit arbeitsplatz | registratur mit arbeitsplatz
42131,sammlungsraum,NUF_4,sammlungsraum,sammlungsraum | sammlungsraum
422,lehrmittelräume/ buchmagazine,NUF_4,lehrmittelraume/ buchmagazine,lehrmittelräume/ buchmagazine | lehrmittelraume/ buchmagazine
42211,magazin,NUF_4,magazin,magazin | magazin
42212,magazin mit klimakonstanz,NUF_4,magazin mit klimakonstanz,magazin mit klimakonstanz | magazin mit klimakonstanz
431,kühlräume für lebensmittel,NUF_4,kuhlraume fur lebensmittel,kühlräume für lebensmittel | kuhlraume fur lebensmittel
43111,lebensmittelkühlraum,NUF_4,lebensmittelkuhlraum,lebensmittelkühlraum | lebensmittelkuhlraum
43112,lebensmittelauftaukühlraum,NUF_4,lebensmittelauftaukuhlraum,lebensmittelauftaukühlraum | lebensmittelauftaukuhlraum
43113,kühlraum cook and chill,NUF_4,kuhlraum cook and chill,kühlraum cook and chill | kuhlraum cook and chill
43114,wildkammer,NUF_4,wildkammer,wildkammer | wildkammer
43121,lebensmitteltiefkühlraum,NUF_4,lebensmitteltiefkuhlraum,lebensmitteltiefkühlraum | lebensmitteltiefkuhlraum
432,kühlräume für medizinische zwecke,NUF_4,kuhlraume fur medizinische zwecke,kühlräume für medizinische zwecke | kuhlraume fur medizinische zwecke
43211,kühlraum für medizinische zwecke,NUF_4,kuhlraum fur medizinische zwecke,kühlraum für medizinische zwecke | kuhlraum fur medizinische zwecke
43221,kühlzelle für medizinische zwecke,NUF_4,kuhlzelle fur medizinische zwecke,kühlzelle für medizinische zwecke | kuhlzelle fur medizinische zwecke
433,kühlräume für wissenschaftliche zwecke,NUF_4,kuhlraume fur wissenschaftliche zwecke,kühlräume für wissenschaftliche zwecke | kuhlraume fur wissenschaftliche zwecke
43311,kühlraum für wissenschaftliche zwecke (nur kühlung),NUF_4,kuhlraum fur wissenschaftliche zwecke (nur kuhlung),kühlraum für wissenschaftliche zwecke (nur kühlung) | kuhlraum fur wissenschaftliche zwecke (nur kuhlung)
43321,kühlraum für wissenschaftliche zwecke (tiefkühlung),NUF_4,kuhlraum fur wissenschaftliche zwecke (tiefkuhlung),kühlraum für wissenschaftliche zwecke (tiefkühlung) | kuhlraum fur wissenschaftliche zwecke (tiefkuhlung)
434,räume für leichen/ tierkadaver,NUF_4,raume fur leichen/ tierkadaver,räume für leichen/ tierkadaver | raume fur leichen/ tierkadaver
43411,leichenraum für anatomie,NUF_4,leichenraum fur anatomie,leichenraum für anatomie | leichenraum fur anatomie
43412,leichenkühlraum,NUF_4,leichenkuhlraum,leichenkühlraum | leichenkuhlraum
43421,kadaverraum mit rlt 2,NUF_4,kadaverraum mit rlt 2,kadaverraum mit rlt 2 | kadaverraum mit rlt 2
441,sortier- und verteilräume,NUF_4,sortier- und verteilraume,sortier- und verteilräume | sortier- und verteilraume
44111,annahme- und ausgaberaum,NUF_4,annahme- und ausgaberaum,annahme- und ausgaberaum | annahme- und ausgaberaum
44112,annahme- und ausgaberaum mit rlt 1,NUF_4,annahme- und ausgaberaum mit rlt 1,annahme- und ausgaberaum mit rlt 1 | annahme- und ausgaberaum mit rlt 1
44113,poststelle,NUF_4,poststelle,poststelle | poststelle
44121,warenannahme lebensmittel (umpackraum),NUF_4,warenannahme lebensmittel (umpackraum),warenannahme lebensmittel (umpackraum) | warenannahme lebensmittel (umpackraum)
44122,warenannahme mit hygienischen anf. (lebensmittel),NUF_4,warenannahme mit hygienischen anf. (lebensmittel),warenannahme mit hygienischen anf. (lebensmittel) | warenannahme mit hygienischen anf. (lebensmittel)
442,pack- und versandräume,NUF_4,pack- und versandraume,pack- und versandräume | pack- und versandraume
44211,packraum,NUF_4,packraum,packraum | packraum
44212,packraum mit rlt 1,NUF_4,packraum mit rlt 1,packraum mit rlt 1 | packraum mit rlt 1
44221,versandraum,NUF_4,versandraum,versandraum | versandraum
443,ver-/ entsorgungsstützpunkte,NUF_4,ver-/ entsorgungsstutzpunkte,ver-/ entsorgungsstützpunkte | ver-/ entsorgungsstutzpunkte
44311,versorgungsraum mit rlt 1,NUF_4,versorgungsraum mit rlt 1,versorgungsraum mit rlt 1 | versorgungsraum mit rlt 1
44312,versorgungsraum mit nassarbeitsplatz und rlt 1,NUF_4,versorgungsraum mit nassarbeitsplatz und rlt 1,versorgungsraum mit nassarbeitsplatz und rlt 1 | versorgungsraum mit nassarbeitsplatz und rlt 1
44313,versorgungsraum mit hygienischen anf. und rlt 3,NUF_4,versorgungsraum mit hygienischen anf. und rlt 3,versorgungsraum mit hygienischen anf. und rlt 3 | versorgungsraum mit hygienischen anf. und rlt 3
44314,versorgungsraum raumklasse ii (op-bereich),NUF_4,versorgungsraum raumklasse ii (op-bereich),versorgungsraum raumklasse ii (op-bereich) | versorgungsraum raumklasse ii (op-bereich)
44321,entsorgungsraum mit rlt 1,NUF_4,entsorgungsraum mit rlt 1,entsorgungsraum mit rlt 1 | entsorgungsraum mit rlt 1
44322,entsorgungsraum mit nassarbeitsplatz und rlt 1,NUF_4,entsorgungsraum mit nassarbeitsplatz und rlt 1,entsorgungsraum mit nassarbeitsplatz und rlt 1 | entsorgungsraum mit nassarbeitsplatz und rlt 1
44323,entsorgungsraum mit hygienischen anf. und rlt 3,NUF_4,entsorgungsraum mit hygienischen anf. und rlt 3,entsorgungsraum mit hygienischen anf. und rlt 3 | entsorgungsraum mit hygienischen anf. und rlt 3
44324,"entsorgungsraum mit bes. hygienischen anf., strahlenschutz und rlt 3",NUF_4,"entsorgungsraum mit bes. hygienischen anf., strahlenschutz und rlt 3","entsorgungsraum mit bes. hygienischen anf., strahlenschutz und rlt 3 | entsorgungsraum mit bes. hygienischen anf., strahlenschutz und rlt 3"
44325,entsorgungsraum raumklasse ii (op-bereich),NUF_4,entsorgungsraum raumklasse ii (op-bereich),entsorgungsraum raumklasse ii (op-bereich) | entsorgungsraum raumklasse ii (op-bereich)
451,geschäftsräume,NUF_4,geschaftsraume,geschäftsräume | geschaftsraume
45111,supermarktverkaufsraum mit rlt 1,NUF_4,supermarktverkaufsraum mit rlt 1,supermarktverkaufsraum mit rlt 1 | supermarktverkaufsraum mit rlt 1
45112,kaufhausverkaufsraum mit rlt 1,NUF_4,kaufhausverkaufsraum mit rlt 1,kaufhausverkaufsraum mit rlt 1 | kaufhausverkaufsraum mit rlt 1
45113,großmarkthallenverkaufsraum mit rlt 2,NUF_4,grossmarkthallenverkaufsraum mit rlt 2,großmarkthallenverkaufsraum mit rlt 2 | grossmarkthallenverkaufsraum mit rlt 2
452,ladenräume/ kioske,NUF_4,ladenraume/ kioske,ladenräume/ kioske | ladenraume/ kioske
45211,ticket schalter,NUF_4,ticket schalter,ticket schalter | ticket schalter
45212,ladenraum,NUF_4,ladenraum,ladenraum | ladenraum
45213,thekenbereich,NUF_4,thekenbereich,thekenbereich | thekenbereich
45214,thekenbereich mit rlt 1,NUF_4,thekenbereich mit rlt 1,thekenbereich mit rlt 1 | thekenbereich mit rlt 1
45221,kiosk mit rlt 1,NUF_4,kiosk mit rlt 1,kiosk mit rlt 1 | kiosk mit rlt 1
461,messehallen,NUF_4,messehallen,messehallen | messehallen
46111,verkaufsausstellungsraum,NUF_4,verkaufsausstellungsraum,verkaufsausstellungsraum | verkaufsausstellungsraum
46112,messehalle mit rlt 1,NUF_4,messehalle mit rlt 1,messehalle mit rlt 1 | messehalle mit rlt 1
46121,musteraustellungsraum,NUF_4,musteraustellungsraum,musteraustellungsraum | musteraustellungsraum
46122,musteraustellungsraum mit rlt 1,NUF_4,musteraustellungsraum mit rlt 1,musteraustellungsraum mit rlt 1 | musteraustellungsraum mit rlt 1
511,hör-/lehrsäle,NUF_5,hor-/lehrsale,hör-/lehrsäle | hor-/lehrsale
51111,hör-/lehrsaal anst. m. exp.-bühne und rlt 1,NUF_5,hor-/lehrsaal anst. m. exp.-buhne und rlt 1,hör-/lehrsaal anst. m. exp.-bühne und rlt 1 | hor-/lehrsaal anst. m. exp.-buhne und rlt 1
51112,"hör-/lehrsaal anst. m. exp.-bühne, mit labortech. anf. und rlt 1",NUF_5,"hor-/lehrsaal anst. m. exp.-buhne, mit labortech. anf. und rlt 1","hör-/lehrsaal anst. m. exp.-bühne, mit labortech. anf. und rlt 1 | hor-/lehrsaal anst. m. exp.-buhne, mit labortech. anf. und rlt 1"
51121,hör-/lehrsaal eben m. exp.-bühne und rlt 1,NUF_5,hor-/lehrsaal eben m. exp.-buhne und rlt 1,hör-/lehrsaal eben m. exp.-bühne und rlt 1 | hor-/lehrsaal eben m. exp.-buhne und rlt 1
51122,"hör-/lehrsaal eben m. exp.-bühne, mit labortech. anf. und rlt 1",NUF_5,"hor-/lehrsaal eben m. exp.-buhne, mit labortech. anf. und rlt 1","hör-/lehrsaal eben m. exp.-bühne, mit labortech. anf. und rlt 1 | hor-/lehrsaal eben m. exp.-buhne, mit labortech. anf. und rlt 1"
51131,hör-/lehrsaal anst. o. exp.-bühne und rlt 1,NUF_5,hor-/lehrsaal anst. o. exp.-buhne und rlt 1,hör-/lehrsaal anst. o. exp.-bühne und rlt 1 | hor-/lehrsaal anst. o. exp.-buhne und rlt 1
51132,"hör-/lehrsaal anst. o. exp.-bühne, mit labortech. anf. und rlt 1",NUF_5,"hor-/lehrsaal anst. o. exp.-buhne, mit labortech. anf. und rlt 1","hör-/lehrsaal anst. o. exp.-bühne, mit labortech. anf. und rlt 1 | hor-/lehrsaal anst. o. exp.-buhne, mit labortech. anf. und rlt 1"
51141,hör-/lehrsaal eben o. exp.-bühne und rlt 1,NUF_5,hor-/lehrsaal eben o. exp.-buhne und rlt 1,hör-/lehrsaal eben o. exp.-bühne und rlt 1 | hor-/lehrsaal eben o. exp.-buhne und rlt 1
51142,"hör-/lehrsaal eben o. exp.-bühne, mit labortech. anf. und rlt 1",NUF_5,"hor-/lehrsaal eben o. exp.-buhne, mit labortech. anf. und rlt 1","hör-/lehrsaal eben o. exp.-bühne, mit labortech. anf. und rlt 1 | hor-/lehrsaal eben o. exp.-buhne, mit labortech. anf. und rlt 1"
521,seminar-/ unterrichtsräume,NUF_5,seminar-/ unterrichtsraume,seminar-/ unterrichtsräume | seminar-/ unterrichtsraume
52111,seminar-/ unterrichtsraum einfach,NUF_5,seminar-/ unterrichtsraum einfach,seminar-/ unterrichtsraum einfach | seminar-/ unterrichtsraum einfach
52112,seminar-/ unterrichtsraum mit medien,NUF_5,seminar-/ unterrichtsraum mit medien,seminar-/ unterrichtsraum mit medien | seminar-/ unterrichtsraum mit medien
52113,seminar-/ unterrichtsraum mit medien und rlt 1,NUF_5,seminar-/ unterrichtsraum mit medien und rlt 1,seminar-/ unterrichtsraum mit medien und rlt 1 | seminar-/ unterrichtsraum mit medien und rlt 1
52114,seminar-/ unterrichtsraum naturwissenschaften,NUF_5,seminar-/ unterrichtsraum naturwissenschaften,seminar-/ unterrichtsraum naturwissenschaften | seminar-/ unterrichtsraum naturwissenschaften
522,seminar-/ unterrichtsgroßräume,NUF_5,seminar-/ unterrichtsgrossraume,seminar-/ unterrichtsgroßräume | seminar-/ unterrichtsgrossraume
52211,seminar-/ unterrichtsgroßraum,NUF_5,seminar-/ unterrichtsgrossraum,seminar-/ unterrichtsgroßraum | seminar-/ unterrichtsgrossraum
52212,seminar-/ unterrichtsgroßraum mit rlt 1,NUF_5,seminar-/ unterrichtsgrossraum mit rlt 1,seminar-/ unterrichtsgroßraum mit rlt 1 | seminar-/ unterrichtsgrossraum mit rlt 1
523,übungs- und arbeitsräume,NUF_5,ubungs- und arbeitsraume,übungs- und arbeitsräume | ubungs- und arbeitsraume
52311,übungsraum,NUF_5,ubungsraum,übungsraum | ubungsraum
52312,übungsraum mit rlt 1,NUF_5,ubungsraum mit rlt 1,übungsraum mit rlt 1 | ubungsraum mit rlt 1
531,"werk- und bastelräume, hauswirtschaftsräume, zeichensäle",NUF_5,"werk- und bastelraume, hauswirtschaftsraume, zeichensale","werk- und bastelräume, hauswirtschaftsräume, zeichensäle | werk- und bastelraume, hauswirtschaftsraume, zeichensale"
53111,zeichensaal,NUF_5,zeichensaal,zeichensaal | zeichensaal
53121,textilarbeitsraum,NUF_5,textilarbeitsraum,textilarbeitsraum | textilarbeitsraum
53131,werkraum - holz mit sonderabsaugung,NUF_5,werkraum - holz mit sonderabsaugung,werkraum - holz mit sonderabsaugung | werkraum - holz mit sonderabsaugung
53141,hauswirtschaftlicher unterrichtsraum,NUF_5,hauswirtschaftlicher unterrichtsraum,hauswirtschaftlicher unterrichtsraum | hauswirtschaftlicher unterrichtsraum
532,"räume für grafik, malerei und bildhauerei",NUF_5,"raume fur grafik, malerei und bildhauerei","räume für grafik, malerei und bildhauerei | raume fur grafik, malerei und bildhauerei"
53211,bildhauerklassenraum,NUF_5,bildhauerklassenraum,bildhauerklassenraum | bildhauerklassenraum
53221,modellierraum - plastisches gestalten mit sonderabsaugung,NUF_5,modellierraum - plastisches gestalten mit sonderabsaugung,modellierraum - plastisches gestalten mit sonderabsaugung | modellierraum - plastisches gestalten mit sonderabsaugung
533,sprachlabore/ edv-unterrichtsräume,NUF_5,sprachlabore/ edv-unterrichtsraume,sprachlabore/ edv-unterrichtsräume | sprachlabore/ edv-unterrichtsraume
53311,computer pool/ cip pool mit rlt 2,NUF_5,computer pool/ cip pool mit rlt 2,computer pool/ cip pool mit rlt 2 | computer pool/ cip pool mit rlt 2
53321,sprachlabore mit rlt 1,NUF_5,sprachlabore mit rlt 1,sprachlabore mit rlt 1 | sprachlabore mit rlt 1
534,"räume und übungszellen für gesangs-, sprach- und instrumentalausbildung",NUF_5,"raume und ubungszellen fur gesangs-, sprach- und instrumentalausbildung","räume und übungszellen für gesangs-, sprach- und instrumentalausbildung | raume und ubungszellen fur gesangs-, sprach- und instrumentalausbildung"
53411,musik-/sprechunterrichtsraum mit rlt 1,NUF_5,musik-/sprechunterrichtsraum mit rlt 1,musik-/sprechunterrichtsraum mit rlt 1 | musik-/sprechunterrichtsraum mit rlt 1
535,verhaltensbeobachtungsräume,NUF_5,verhaltensbeobachtungsraume,verhaltensbeobachtungsräume | verhaltensbeobachtungsraume
53511,verhaltensbeobachtungsraum,NUF_5,verhaltensbeobachtungsraum,verhaltensbeobachtungsraum | verhaltensbeobachtungsraum
536,naturwisschaftlich / medizinische übungsräume,NUF_5,naturwisschaftlich / medizinische ubungsraume,naturwisschaftlich / medizinische übungsräume | naturwisschaftlich / medizinische ubungsraume
53611,übungsraum naturwissenschaften,NUF_5,ubungsraum naturwissenschaften,übungsraum naturwissenschaften | ubungsraum naturwissenschaften
53612,physikalisch-technischer übungsraum mit rlt 1,NUF_5,physikalisch-technischer ubungsraum mit rlt 1,physikalisch-technischer übungsraum mit rlt 1 | physikalisch-technischer ubungsraum mit rlt 1
53621,biologischer übungsraum mit rlt 1,NUF_5,biologischer ubungsraum mit rlt 1,biologischer übungsraum mit rlt 1 | biologischer ubungsraum mit rlt 1
53622,chemischer übungsraum mit rlt 1,NUF_5,chemischer ubungsraum mit rlt 1,chemischer übungsraum mit rlt 1 | chemischer ubungsraum mit rlt 1
53631,zahnmedizinischer übungsraum mit rlt 1,NUF_5,zahnmedizinischer ubungsraum mit rlt 1,zahnmedizinischer übungsraum mit rlt 1 | zahnmedizinischer ubungsraum mit rlt 1
53632,anatomischer übungsraum mit rlt 1,NUF_5,anatomischer ubungsraum mit rlt 1,anatomischer übungsraum mit rlt 1 | anatomischer ubungsraum mit rlt 1
537,räume für ausbildung (raumlufttechnik enthalten),NUF_5,raume fur ausbildung (raumlufttechnik enthalten),räume für ausbildung (raumlufttechnik enthalten) | raume fur ausbildung (raumlufttechnik enthalten)
53711,werkstatt bau/ steine/ erden,NUF_5,werkstatt bau/ steine/ erden,werkstatt bau/ steine/ erden | werkstatt bau/ steine/ erden
53712,werkstatt bau/ steine/ erden mit sonderabsaugung,NUF_5,werkstatt bau/ steine/ erden mit sonderabsaugung,werkstatt bau/ steine/ erden mit sonderabsaugung | werkstatt bau/ steine/ erden mit sonderabsaugung
53721,drucktechnikwerkstatt mit sonderabsaugung,NUF_5,drucktechnikwerkstatt mit sonderabsaugung,drucktechnikwerkstatt mit sonderabsaugung | drucktechnikwerkstatt mit sonderabsaugung
53731,textil-/ lederwerkstatt,NUF_5,textil-/ lederwerkstatt,textil-/ lederwerkstatt | textil-/ lederwerkstatt
53741,werkstatt holz/ kunststoff,NUF_5,werkstatt holz/ kunststoff,werkstatt holz/ kunststoff | werkstatt holz/ kunststoff
53751,werkstatt metall mit sonderabsaugung,NUF_5,werkstatt metall mit sonderabsaugung,werkstatt metall mit sonderabsaugung | werkstatt metall mit sonderabsaugung
53752,werkstatt feinmechanik mit sonderabsaugung,NUF_5,werkstatt feinmechanik mit sonderabsaugung,werkstatt feinmechanik mit sonderabsaugung | werkstatt feinmechanik mit sonderabsaugung
53761,werkstatt elektro,NUF_5,werkstatt elektro,werkstatt elektro | werkstatt elektro
541,bibliotheksräume,NUF_5,bibliotheksraume,bibliotheksräume | bibliotheksraume
54111,bibliotheksraum,NUF_5,bibliotheksraum,bibliotheksraum | bibliotheksraum
54112,bibliotheksraum mit rlt 1,NUF_5,bibliotheksraum mit rlt 1,bibliotheksraum mit rlt 1 | bibliotheksraum mit rlt 1
54121,leseraum mit rlt 1,NUF_5,leseraum mit rlt 1,leseraum mit rlt 1 | leseraum mit rlt 1
54131,katalograum/ -fläche mit rlt 1,NUF_5,katalograum/ -flache mit rlt 1,katalograum/ -fläche mit rlt 1 | katalograum/ -flache mit rlt 1
54141,mediothekraum mit rlt 1,NUF_5,mediothekraum mit rlt 1,mediothekraum mit rlt 1 | mediothekraum mit rlt 1
54151,freihandstellfläche mit rlt 1,NUF_5,freihandstellflache mit rlt 1,freihandstellfläche mit rlt 1 | freihandstellflache mit rlt 1
551,sporthallen/ mehrzweckhallen,NUF_5,sporthallen/ mehrzweckhallen,sporthallen/ mehrzweckhallen | sporthallen/ mehrzweckhallen
55111,halle für turnen und spiele,NUF_5,halle fur turnen und spiele,halle für turnen und spiele | halle fur turnen und spiele
55121,mehrzweckhalle mit rlt 2,NUF_5,mehrzweckhalle mit rlt 2,mehrzweckhalle mit rlt 2 | mehrzweckhalle mit rlt 2
552,sportübungsräume,NUF_5,sportubungsraume,sportübungsräume | sportubungsraume
55211,sportübungsraum,NUF_5,sportubungsraum,sportübungsraum | sportubungsraum
55212,sportübungsraum mit rlt 1,NUF_5,sportubungsraum mit rlt 1,sportübungsraum mit rlt 1 | sportubungsraum mit rlt 1
55213,raum für integrationstraining mit rlt 1,NUF_5,raum fur integrationstraining mit rlt 1,raum für integrationstraining mit rlt 1 | raum fur integrationstraining mit rlt 1
55214,raum für abwehr- und zugriffstraining mit rlt 1,NUF_5,raum fur abwehr- und zugriffstraining mit rlt 1,raum für abwehr- und zugriffstraining mit rlt 1 | raum fur abwehr- und zugriffstraining mit rlt 1
55221,tanzraum mit rlt 1,NUF_5,tanzraum mit rlt 1,tanzraum mit rlt 1 | tanzraum mit rlt 1
553,schießsporträume,NUF_5,schiesssportraume,schießsporträume | schiesssportraume
55311,schießsportraum mit medienunterstützung und rlt 1,NUF_5,schiesssportraum mit medienunterstutzung und rlt 1,schießsportraum mit medienunterstützung und rlt 1 | schiesssportraum mit medienunterstutzung und rlt 1
554,sondersporthallen,NUF_5,sondersporthallen,sondersporthallen | sondersporthallen
55411,schwimmhalle mit rlt 1,NUF_5,schwimmhalle mit rlt 1,schwimmhalle mit rlt 1 | schwimmhalle mit rlt 1
55412,eissporthalle mit rlt 2,NUF_5,eissporthalle mit rlt 2,eissporthalle mit rlt 2 | eissporthalle mit rlt 2
55413,radsporthalle mit rlt 1,NUF_5,radsporthalle mit rlt 1,radsporthalle mit rlt 1 | radsporthalle mit rlt 1
55414,reitsporthalle,NUF_5,reitsporthalle,reitsporthalle | reitsporthalle
55415,kegelbahn mit rlt 1,NUF_5,kegelbahn mit rlt 1,kegelbahn mit rlt 1 | kegelbahn mit rlt 1
55416,sondersporthalle,NUF_5,sondersporthalle,sondersporthalle | sondersporthalle
561,zuschauerräume,NUF_5,zuschauerraume,zuschauerräume | zuschauerraume
56111,zuschauerraum in sport- und mehrzweckhallen,NUF_5,zuschauerraum in sport- und mehrzweckhallen,zuschauerraum in sport- und mehrzweckhallen | zuschauerraum in sport- und mehrzweckhallen
56121,"zuschauerraum in kino, theater- und konzertsälen mit rlt 2",NUF_5,"zuschauerraum in kino, theater- und konzertsalen mit rlt 2","zuschauerraum in kino, theater- und konzertsälen mit rlt 2 | zuschauerraum in kino, theater- und konzertsalen mit rlt 2"
571,"haupt-, seiten-, hinter-, probebühnen, schnürböden",NUF_5,"haupt-, seiten-, hinter-, probebuhnen, schnurboden","haupt-, seiten-, hinter-, probebühnen, schnürböden | haupt-, seiten-, hinter-, probebuhnen, schnurboden"
57111,bühnenraum sporthalle,NUF_5,buhnenraum sporthalle,bühnenraum sporthalle | buhnenraum sporthalle
57112,bühnenraum theater mit rlt 2,NUF_5,buhnenraum theater mit rlt 2,bühnenraum theater mit rlt 2 | buhnenraum theater mit rlt 2
57121,probebühne,NUF_5,probebuhne,probebühne | probebuhne
572,orchesterräume,NUF_5,orchesterraume,orchesterräume | orchesterraume
57211,orchesterraum mit rlt 3,NUF_5,orchesterraum mit rlt 3,orchesterraum mit rlt 3 | orchesterraum mit rlt 3
57212,orchesterprobenraum mit rlt 3,NUF_5,orchesterprobenraum mit rlt 3,orchesterprobenraum mit rlt 3 | orchesterprobenraum mit rlt 3
573,"film-, fernseh-, rundfunkstudios",NUF_5,"film-, fernseh-, rundfunkstudios","film-, fernseh-, rundfunkstudios | film-, fernseh-, rundfunkstudios"
57311,tonstudioraum mit rlt 3,NUF_5,tonstudioraum mit rlt 3,tonstudioraum mit rlt 3 | tonstudioraum mit rlt 3
57321,bildstudioraum mit rlt 3,NUF_5,bildstudioraum mit rlt 3,bildstudioraum mit rlt 3 | bildstudioraum mit rlt 3
581,"ausstellungsräume für museen, galerien, kunstausstellungen",NUF_5,"ausstellungsraume fur museen, galerien, kunstausstellungen","ausstellungsräume für museen, galerien, kunstausstellungen | ausstellungsraume fur museen, galerien, kunstausstellungen"
58111,museumsraum,NUF_5,museumsraum,museumsraum | museumsraum
58112,museumsraum mit rlt 1,NUF_5,museumsraum mit rlt 1,museumsraum mit rlt 1 | museumsraum mit rlt 1
58113,museumgroßraum mit rlt 3,NUF_5,museumgrossraum mit rlt 3,museumgroßraum mit rlt 3 | museumgrossraum mit rlt 3
58114,museumsraum für wechselausstellung mit rlt 3,NUF_5,museumsraum fur wechselausstellung mit rlt 3,museumsraum für wechselausstellung mit rlt 3 | museumsraum fur wechselausstellung mit rlt 3
